year,vendor,total_spend
2025,AKQA,"$800,000.00"
2025,Zenith,"$720,000.00"
2025,LinkedIn,"$600,001.00"
2025,MediaMonks,"$600,000.00"
2025,HubSpot,"$556,000.00"
2025,Canva,"$50,000.00"
2025,ZoomInfo,"$350,000.00"
2025,Jira,"$320,000.00"
2025,Amplitude,"$300,000.00"
2025,Google,"$3,600,000.00"
2025,Gainsight,"$250,000.00"
2025,Blackboard,"$250,000.00"
2025,Optimizely,"$220,000.00"
2025,Conga,"$200,000.00"
2025,Clari,"$200,000.00"
2025,Cvent,"$200,000.00"
2025,Figma,"$180,000.00"
2025,Notion,"$150,000.00"
2025,Userpilot,"$150,000.00"
2025,SurveyMonkey,"$145,000.00"
2025,Intercom,"$120,000.00"
2025,Maze,"$120,000.00"
2025,Adobe,"$120,000.00"
2025,Salesforce,"$1,280,000.00"
2026,AKQA,"$800,000.00"
2026,Zenith,"$798,000.00"
2026,LinkedIn,"$620,001.00"
2026,MediaMonks,"$600,000.00"
2026,HubSpot,"$556,000.00"
2026,Meta,"$540,000.00"
2026,Canva,"$50,000.00"
2026,Jira,"$360,000.00"
2026,ZoomInfo,"$340,000.00"
2026,Amplitude,"$300,000.00"
2026,Google,"$3,300,000.00"
2026,Sprinklr,"$294,000.00"
2026,Gainsight,"$250,000.00"
2026,Blackboard,"$250,000.00"
2026,Optimizely,"$220,000.00"
2026,Cvent,"$200,000.00"
2026,Conga,"$200,000.00"
2026,Clari,"$200,000.00"
2026,Figma,"$180,000.00"
2026,Userpilot,"$150,000.00"
2026,Notion,"$150,000.00"
2026,SurveyMonkey,"$145,000.00"
2026,LaunchDarkly,"$140,000.00"
2026,Adobe,"$120,000.00"
2026,Intercom,"$114,000.00"
2026,Maze,"$100,000.00"
2026,Salesforce,"$1,340,000.00"
